	GName	Class	MF	Mass	HMDB	KEGG	PC	Nam2
	Indoleacetaldoxime	todo	C10H10N2O	174.079313		C02937	5371769	Indoleacetaldoxime
	(Indol-3-yl)acetamide;;Indole-3-acetamide	todo2	C10H10N2O	174.079313	HMDB29739	C02693	397	Indole-3-acetamide
	Indolylmethylthiohydroximate	todo	C10H10N2OS	206.051384		C16516	24892785	Indolylmethylthiohydroximate
x	cis-1,2-Dihydronaphthalene-1,2-diol;;(1R,2S)-1,2-Dihydronaphthalene-1,2-diol	todo2	C10H10O2	162.06808	NA	C04314	440294	Dihydronaphthalenediol
x	1,2-Dihydronaphthalene-1,2-diol	todo2	C10H10O2	162.06808	NA	C06205	362	Dihydronaphthalenediol
	"Coniferyl aldehyde"	todo	C10H10O3	178.062994		C02666	5280536	"Coniferyl aldehyde"
	1,2-Dihydroxy-3,4-epoxy-1,2,3,4-tetrahydronaphthalene	todo2	C10H10O3	178.062994	NA	C14784	186920	1,2-Dihydroxy-3,4-epoxy-1,2,3,4-tetrahydronaphthalene
	"2-Oxo-4-phenylbutyric acid;;2-Oxo-4-phenylbutanoic acid;;2-Oxo-4-phenylbutanoate"	todo2	C10H10O3	178.062994	NA	C20327	69732	"2-Oxo-4-phenylbutyric acid"
	5-hydroxyconiferaldehyde	todo	C10H10O4	194.057909		C12204	5282094	5-hydroxyconiferaldehyde
	"Ferulic acid"	Xenobiotics	C10H10O4	194.057909	HMDB00537;HMDB00954	C01494	445858	"Ferulic acid"
	"5-Hydroxyferulic acid methyl ester"	todo2	C10H10O5	210.052823	HMDB35484	C05619	446834	"5-Hydroxyferulic acid methyl ester"
x	Chorismate	todo	C10H10O6	226.047738	HMDB12199	C00251	12039	Chorismate
x	Isochorismate	todo	C10H10O6	226.047738		C00885	189062	Chorismate
	Prephenate	todo	C10H10O6	226.047738	HMDB12283	C00254	1028	Prephenate
	Indole-3-ethanol;;Tryptophol	todo2	C10H11NO	161.084064	HMDB03447	C00955	10685	Indole-3-ethanol
	Phenylacetylglycine	"Amino acids"	C10H11NO3	193.073893	HMDB00821	C05598	68144	Phenylacetylglycine
	3-Carbamoyl-2-phenylpropionaldehyde	todo2	C10H11NO3	193.073893	NA	C16587	21350391	3-Carbamoyl-2-phenylpropionaldehyde
