GName	ShNam	HMDB	KEGG	PC	Chebi	Mesh	FinalClass	Class	Class2	Class	FinalClass	
Alanine	Alanine	HMDB00161	C00041	5950	chebiId:16977	68000409	"Amino acids"	"Amino acid"	"Alanine and aspartate metabolism"	"Amino acids"	"Amino acids"	
Asparagine	Asparagine	HMDB00168	C00152	6267	chebiId:17196	68001216	"Amino acids"	"Amino acid"	"Alanine and aspartate metabolism"	"Amino acids"	"Amino acids"	
"Aspartic acid"	Aspartate	HMDB00191	C00049	5960	chebiId:17053	68001224	"Amino acids"	"Amino acid"	"Alanine and aspartate metabolism"	"Amino acids"	"Amino acids"	
Cysteine	Cysteine	HMDB00574	C00097	5862	chebiId:17561	68003545	"Amino acids"	"Amino acid"	"Cysteine; methionine; SAM; taurine metabolism"	"Amino acids"	"Amino acids"	
Cystine	Cystine	HMDB00192	C00491	67678	chebiId:16283	68003553	"Amino acids"		NA	"Amino acids"	"Amino acids"	
"Glutamic acid"	Glutamate	HMDB00148	C00025	33032	chebiId:16015	68018698	"Amino acids"	"Amino acid"	"Glutamate metabolism"	"Amino acids"	"Amino acids"	
Glutamine	Glutamine	HMDB00641	C00064	5961	chebiId:18050	68005973	"Amino acids"	"Amino acid"	"Glutamate metabolism"	"Amino acids"	"Amino acids"	
Glycine	Glycine	HMDB00123	C00037	750	chebiId:15428	68005998	"Amino acids"	"Amino acid"	"Glycine; serine and threonine metabolism"	"Amino acids"	"Amino acids"	
Histidine	Histidine	HMDB00177	C00135	6274	chebiId:15971	68006639	"Amino acids"	"Amino acid"	"Histidine metabolism"	"Amino acids"	"Amino acids"	
Isoleucine	Isoleucine	HMDB00172	C00407	6306	chebiId:17191	68007532	"Amino acids"	"Amino acid"	"Valine; leucine and isoleucine metabolism"	"Amino acids"	"Amino acids"	
Leucine	Leucine	HMDB00687	C00123	6106	chebiId:15603	68007930	"Amino acids"	"Amino acid"	"Valine; leucine and isoleucine metabolism"	"Amino acids"	"Amino acids"	
Lysine	Lysine	HMDB00182	C00047	5962	chebiId:18019	68008239	"Amino acids"	"Amino acid"	"Lysine metabolism"	"Amino acids"	"Amino acids"	
Methionine	Methionine	HMDB00696	C00073	6137	chebiId:16643	68008715	"Amino acids"	"Amino acid"	"Cysteine; methionine; SAM; taurine metabolism"	"Amino acids"	"Amino acids"	
Ornithine	Ornithine	HMDB00214	C00077	6262	chebiId:15729	68009952	"Amino acids"	"Amino acid"	"Urea cycle; arginine-; proline-; metabolism"	"Amino acids"	Polyamine	"Amino acids"
Phenylalanine	Phenylalanine	HMDB00159	C00079	6140	chebiId:17295	68010649	"Amino acids"	"Amino acid"	"Phenylalanine & tyrosine metabolism"	"Amino acids"	"Amino acids"	
Proline	Proline	HMDB00162	C00148	145742	chebiId:17203	68011392	"Amino acids"	"Amino acid"	"Urea cycle; arginine-; proline-; metabolism"	"Amino acids"	"Amino acids"	
Serine	Serine	HMDB00187	C00065	5951	chebiId:17115	68012694	"Amino acids"	"Amino acid"	"Glycine; serine and threonine metabolism"	"Amino acids"	"Amino acids"	
Threonine	Threonine	HMDB00167	C00188	6288	chebiId:16857	68013912	"Amino acids"	"Amino acid"	"Glycine; serine and threonine metabolism"	"Amino acids"	"Amino acids"	
Tryptophan	Tryptophan	HMDB00929	C00078	6305	chebiId:16828;chebiId:27897	68014364	"Amino acids"	"Amino acid"	"Tryptophan metabolism"	Indoles	"Amino acids"	Indoles
Tyrosine	Tyrosine	HMDB00158	C00082	6057	chebiId:17895	68014443	"Amino acids"	"Amino acid"	"Phenylalanine & tyrosine metabolism"	"Amino acids"	"Amino acids"	
Valine	Valine	HMDB00883	C00183	6287	chebiId:16414	68014633	"Amino acids"	"Amino acid"	"Valine; leucine and isoleucine metabolism"	"Amino acids"	"Amino acids"	
"2-aminoadipic acid"	2-aminoadipate	HMDB00510	C00956	469	chebiId:37023	68015074	"Amino acids 2"	"Amino acid"	"Lysine metabolism"	"Amino acids"	"Amino acids 2"	"Amino acids"
3-methylhistidine	3-MeHistidine	HMDB00479	C01152	64969	chebiId:27596	67028118	"Amino acids 2"		NA	"Amino acids"	"Amino acids 2"	"Amino acids"
4-hydroxyproline	4-OHProline	HMDB00725	C01157	5810	chebiId:18095	68006909	"Amino acids 2"	"Amino acid"	"Urea cycle; arginine-; proline-; metabolism"	"Amino acids"	"Amino acids 2"	"Amino acids"
"5-aminovaleric acid"	5-aminovalerate	HMDB03355	C00431	138	chebiId:15887	67013809	"Amino acids 2"	"Amino acid"	"Urea cycle; arginine-; proline-; metabolism"	"Amino acids"	"Amino acids 2"	"Amino acids"
5-oxoproline	5-oxoproline	HMDB00267	C01879	7405	chebiId:18183	68011761	"Amino acids 2"	"Amino acid"	"Glutathione metabolism"	"Amino acids"	"Amino acids 2"	"Amino acids"
Allantoin	Allantoin	HMDB00462	C02350	204	chebiId:15678	68000481	"Amino acids 2"	Nucleotide	"Purine metabolism; urate metabolism"	"Organic acids"	"Amino acids 2"	"Organic acids"
"Anthranilic acid"	Anthranilate	HMDB01123	C00108	227	chebiId:30754	67031385	"Amino acids 2"	"Amino acid"	"Tryptophan metabolism"	Unclassified	"Amino acids 2"	Unclassified
Beta-alanine	Beta-alanine	HMDB00056	C00099	239	chebiId:16958	68015091	"Amino acids 2"	"Amino acid"	"Alanine and aspartate metabolism"	"Amino acids"	"Amino acids 2"	"Amino acids"
Cadaverine	Cadaverine	HMDB02322	C01672	273	chebiId:18127	68002103	"Amino acids 2"	Polyamine	NA	Unclassified	"Amino acids 2"	Unclassified
Citrulline	Citrulline	HMDB00904	C00327	9750	chebiId:16349	68002956	"Amino acids 2"	"Amino acid"	"Urea cycle; arginine-; proline-; metabolism"	"Amino acids"	"Amino acids 2"	"Amino acids"
Creatine	Creatine	HMDB00064	C00300	586	chebiId:16919	68003401	"Amino acids 2"	"Amino acid"	"Creatine metabolism"	"Amino acids"	"Amino acids 2"	"Amino acids"
dCAdoMet	dCAdoMet	HMDB00988	C01137	439415	chebiId:15625	67012702	"Amino acids 2"		NA	Nucleosides	Nucleosides	
Dimethylglycine	DiMeGlycine	HMDB00092	C01026	673	chebiId:17724	67025138	"Amino acids 2"	"Amino acid"	"Glycine; serine and threonine metabolism"	"Amino acids"	"Amino acids 2"	"Amino acids"
Dopamine	Dopamine	HMDB00073	C03758	681	chebiId:18243	68004298	"Amino acids 2"		NA	Unclassified	"Amino acids 2"	Unclassified
GABA	GABA	HMDB00112	C00334	119	chebiId:16865	68005680	"Amino acids 2"	"Amino acid"	"Glutamate metabolism"	"Amino acids"	"Amino acids 2"	"Amino acids"
Homoserine	Homoserine	HMDB00719	C00263	12647	chebiId:15699	68006714	"Amino acids 2"	"Amino acid"	"Glycine; serine and threonine metabolism"	"Amino acids"	"Amino acids 2"	"Amino acids"
Hypotaurine	Hypotaurine	HMDB00965	C00519	107812	chebiId:16668	67003949	"Amino acids 2"	"Amino acid"	"Cysteine; methionine; SAM; taurine metabolism"	"Organic acids"	"Amino acids 2"	"Organic acids"
"Ketoisocaproic acid"	KIC	HMDB00695	C00233	70	chebiId:48430	67013082	"Amino acids 2"	"Amino acid"	"Valine; leucine and isoleucine metabolism"	"Organic acids"	"Amino acids 2"	"Organic acids"
"Ketoisovaleric acid"	KIV	HMDB00019	C00141	49	chebiId:16530	67001505	"Amino acids 2"		NA	"Organic acids"	"Amino acids 2"	"Organic acids"
Kynurenine	Kynurenine	HMDB00684	C00328	846	chebiId:16946	68007737	"Amino acids 2"	"Amino acid"	"Tryptophan metabolism"	Unclassified	"Amino acids 2"	Unclassified
"N-acetylaspartic acid"	NAcAspartate	HMDB00812	C01042	65065	chebiId:21547	67000179	"Amino acids 2"	"Amino acid"	"Alanine and aspartate metabolism"	"Amino acids"	"Amino acids 2"	"Amino acids"
Sarcosine	Sarcosine	HMDB00271	C00213	1088	chebiId:15611	68012521	"Amino acids 2"	"Amino acid"	"Glycine; serine and threonine metabolism"	"Amino acids"	"Amino acids 2"	"Amino acids"
Taurine	Taurine	HMDB00251	C00245	1123	chebiId:15891	68013654	"Amino acids 2"	"Amino acid"	"Cysteine; methionine; SAM; taurine metabolism"	"Organic acids"	"Amino acids 2"	"Organic acids"
Urea	Urea	HMDB00294	C00086	1176	chebiId:16199	68014508	"Amino acids 2"	"Amino acid"	"Urea cycle; arginine-; proline-; metabolism"	"Organic acids"	"Amino acids 2"	"Organic acids"
"3-hydroxyisovaleric acid"	3-OHIsovalerate	HMDB00754		69362	chebiId:37084	67004961	"Amino acids 2"	"Amino acid"	"Valine; leucine and isoleucine metabolism"	"Fatty Acyls"	"Amino acids 2"	"Fatty Acyls"
Adenine	Adenine	HMDB00034	C00147	190	chebiId:16708	68000225	Bases	Nucleotide	"Purine metabolism; adenine containing"	Bases	"Nucleotides 2"	Bases
Cytosine	Cytosine	HMDB00630	C00380	597	chebiId:16040	68003596	Bases	Nucleotide	"Pyrimidine metabolism; cytidine containing"	Bases	"Nucleotides 2"	Bases
Guanine	Guanine	HMDB00132	C00242	764	chebiId:16235	68006147	Bases		NA	Bases	"Nucleotides 2"	Bases
Guanosine	Guanosine	HMDB00133	C00387	6802	chebiId:16750	68006151	Bases	Nucleotide	"Purine metabolism; guanine containing"	Nucleosides	"Nucleotides 2"	Nucleosides
Hypoxanthine	Hypoxanthine	HMDB00157	C00262	790	chebiId:17368	68019271	Bases	Nucleotide	"Purine metabolism; (hypo)xanthine/inosine containing"	Bases	"Nucleotides 2"	Bases
Inosine	Inosine	HMDB00195	C00294	6021	chebiId:17596	68007288	Bases	Nucleotide	"Purine metabolism; (hypo)xanthine/inosine containing"	Nucleosides	"Nucleotides 2"	Nucleosides
Thymine	Thymine	HMDB00262	C00178	1135	chebiId:17821	68013941	Bases	Nucleotide	"Pyrimidine metabolism; thymine containing"	Bases	"Nucleotides 2"	Bases
Uracil	Uracil	HMDB00300	C00106	1174	chebiId:17568	68014498	Bases	Nucleotide	"Pyrimidine metabolism; uracil containing"	Bases	"Nucleotides 2"	Bases
"Uric acid"	Urate	HMDB00289	C00366	1175	chebiId:17775	68014527	Bases	Nucleotide	"Purine metabolism; urate metabolism"	Bases	"Nucleotides 2"	Bases
Xanthine	Xanthine	HMDB00292	C00385	1188	chebiId:17712;chebiId:48517	68019820	Bases	Nucleotide	"Purine metabolism; (hypo)xanthine/inosine containing"	Bases	"Nucleotides 2"	Bases
Xanthosine	Xanthosine	HMDB00299	C01762	64959	chebiId:18107	67005893	Bases	Nucleotide	"Purine metabolism; (hypo)xanthine/inosine containing"	Nucleosides	"Nucleotides 2"	Nucleosides
Arabinose	Arabinose	HMDB00646	C00216	439195	chebiId:17108	68001089	Carbohydrates	Carbohydrate	"Nucleotide sugars; pentose metabolism"	Carbohydrates	Carbohydrates	
Arabitol	Arabitol	HMDB00568	C01904	94154	chebiId:18333	67014999	Carbohydrates	Carbohydrate	"Nucleotide sugars; pentose metabolism"	Carbohydrates	Carbohydrates	
Fructose	Fructose	HMDB00660	C00095;C02336	5984;439709	chebiId:28645	68005632	Carbohydrates	Carbohydrate	"Fructose; mannose; galactose; starch; and sucrose metabolism"	Carbohydrates	Carbohydrates	
Fructose-6-phosphate	F-6P	HMDB00124	C05345	69507	chebiId:15946	67027618	Carbohydrates	Carbohydrate	"Glycolysis; gluconeogenesis; pyruvate metabolism"	Carbohydrates	Carbohydrates	
Galactitol	Galactitol	HMDB00107	C01697	11850	chebiId:16813	68004376	Carbohydrates		NA	Carbohydrates	Carbohydrates	
Galactose	Galactose	HMDB00143	C00124;C00984	6036	chebiId:4139;chebiId:28061	68005690	Carbohydrates		NA	Carbohydrates	Carbohydrates	
Glucose	Glucose	HMDB00122;HMDB03345;HMDB00516	C00031;C00267;C00221	79025;5793	chebiId:4167;chebiId:17925;chebiId:15903	67045788;68005947	Carbohydrates	Carbohydrate	"Glycolysis; gluconeogenesis; pyruvate metabolism"	Carbohydrates	Carbohydrates	
Glucose-6-phosphate	G-6P	HMDB01401;HMDB03498	C00668;C00092;C01172	5958;439284;439427;42609823	chebiId:17665;chebiId:4170;chebiId:17719	68019298	Carbohydrates	Carbohydrate	"Glycolysis; gluconeogenesis; pyruvate metabolism"	Carbohydrates	Carbohydrates	
Glyceraldehyde-3-phosphate	GA-3P	HMDB01112	C00118	729	chebiId:17138	68005986	Carbohydrates		NA	Carbohydrates	Carbohydrates	
Inositol	Inositol	HMDB00211	C00137	892	chebiId:17268	67009217	Carbohydrates	Lipid	"Inositol metabolism"	Unclassified	Carbohydrates	Unclassified
Lactose	Lactose	HMDB00186	C00243	84571	chebiId:17716	68007785	Carbohydrates		NA	Carbohydrates	Carbohydrates	
Maltose	Maltose	HMDB00163	C00208	6255	chebiId:17306	68008320	Carbohydrates	Carbohydrate	"Fructose; mannose; galactose; starch; and sucrose metabolism"	Carbohydrates	Carbohydrates	
Mannitol	Mannitol	HMDB00765	C00392	6251	chebiId:16899	68008353	Carbohydrates	Carbohydrate	"Fructose; mannose; galactose; starch; and sucrose metabolism"	Carbohydrates	Carbohydrates	
Mannose	Mannose	HMDB00169	C00159	18950	chebiId:4208	68008358	Carbohydrates	Carbohydrate	"Fructose; mannose; galactose; starch; and sucrose metabolism"	Carbohydrates	Carbohydrates	
Raffinose	Raffinose	HMDB03213	C00492	439242	chebiId:16634	68011887	Carbohydrates		NA	Carbohydrates	Carbohydrates	
Ribitol	Ribitol	HMDB00508	C00474	827	chebiId:15963	67014999	Carbohydrates	Carbohydrate	"Nucleotide sugars; pentose metabolism"	Carbohydrates	Carbohydrates	
Ribose	Ribose	HMDB00283	C00121	5779	chebiId:47013	68012266	Carbohydrates	Carbohydrate	"Nucleotide sugars; pentose metabolism"	Carbohydrates	Carbohydrates	
Ribose-5-phosphate	Ribose-5P	HMDB01548	C00117	439167;77982	chebiId:52742	67031626	Carbohydrates	Carbohydrate	"Nucleotide sugars; pentose metabolism"	Carbohydrates	Carbohydrates	
Ribulose	Ribulose	HMDB00621	C00309	151261	chebiId:17173	67100182	Carbohydrates	Carbohydrate	"Nucleotide sugars; pentose metabolism"	Carbohydrates	Carbohydrates	
Ribulose-5-phosphate	Ribulose-5P	HMDB00618	C00199	439184	chebiId:17666	67031524	Carbohydrates	Carbohydrate	"Nucleotide sugars; pentose metabolism"	Carbohydrates	Carbohydrates	
