GName	ShNam	MF	Mass	HMDB	KEGG	PC	Chebi	Mesh	FinalClass	Verif
3-methylglutarylcarnitine	3MeGlutCarnitine	C13H23NO6	289.15254	HMDB00552		128145	chebiId:70857	67048290	"Acyl carnitines"	D
Carnitine	Carnitine	C7H15NO3	161.10519	HMDB00062	C00318	10917	chebiId:16347	68002331	"Acyl carnitines"	D
"Carnitine C10:0"	"AcCarn C10:0"	C17H33NO4	315.24096	HMDB00651		10245190	chebiId:68830	67002893	"Acyl carnitines"	D
"Carnitine C10:1"	"AcCarn C10:1"	C17H31NO4	313.22531	HMDB13205		53481651	chebiId:88543		"Acyl carnitines"	D
"Carnitine C12:0"	"AcCarn C12:0"	C19H37NO4	343.27226	HMDB02250		168381	chebiId:77086	67091947	"Acyl carnitines"	D
"Carnitine C12:1"	"AcCarn C12:1"	C19H35NO4	341.25661	HMDB13326		53481671	chebiId:89717		"Acyl carnitines"	D
"Carnitine C14:0"	"AcCarn C14:0"	C21H41NO4	371.30356	HMDB05066		53477791	chebiId:84634		"Acyl carnitines"	D
"Carnitine C14:0(OH)"	"AcCarn C14:0(OH)"	C21H41NO5	387.29847	HMDB13166;HMDB61640		53481642			"Acyl carnitines"	D
"Carnitine C14:1"	"AcCarn C14:1"	C21H39NO4	369.28791	HMDB13329;HMDB02014		22833575;53481677			"Acyl carnitines"	D
"Carnitine C14:1(OH)"	"AcCarn C14:1(OH)"	C21H39NO5	385.28282	HMDB13330		53481679	chebiId:89748		"Acyl carnitines"	D
"Carnitine C14:2"	"AcCarn C14:2"	C21H37NO4	367.27226	HMDB13331		53481681	chebiId:89746		"Acyl carnitines"	D
"Carnitine C16:0"	"AcCarn C16:0"	C23H45NO4	399.33486	HMDB00222	C02990	461	chebiId:17490	68010172	"Acyl carnitines"	D
"Carnitine C16:0(OH)"	"AcCarn C16:0(OH)"	C23H45NO5	415.32977	HMDB13337;HMDB13336		53481693;53481691			"Acyl carnitines"	D
"Carnitine C16:1"	"AcCarn C16:1"	C23H43NO4	397.31921	HMDB13207;HMDB06317		53477817;53481653	chebiId:88544;chebiId:86031		"Acyl carnitines"	D
